Motif	GC content	Motif length
MA1511.1 KLF10	0.7138	11
MA1512.1 KLF11	0.7493	11
MA0742.1 Klf12	0.6338	15
MA0657.1 KLF13	0.5749	18
MA0740.1 KLF14	0.6852	14
MA1513.1 KLF15	0.9016	11
MA0741.1 KLF16	0.7842	11
MA1515.1 KLF2	0.7294	11
MA1516.1 KLF3	0.771	11
MA0039.4 KLF4	0.7292	12
MA0599.1 KLF5	0.7921	10
MA1517.1 KLF6	0.7083	11
MA1107.2 KLF9	0.6613	16
MA0058.3 MAX	0.6051	10
MA1522.1 MAZ	0.7869	11
MA0663.1 MLX	0.493	10
MA0622.1 Mlxip	0.6246	8
MA0664.1 MLXIPL	0.513	10
MA0825.1 MNT	0.5981	10
MA1523.1 MSANTD3	0.5117	10
MA0100.3 MYB	0.502	10
MA0147.3 MYC	0.6657	12
MA0104.4 MYCN	0.6802	12
MA0025.2 NFIL3	0.2963	13
MA0060.3 NFYA	0.49	11
MA0502.2 NFYB	0.5736	12
MA1644.1 NFYC	0.4739	11
MA1535.1 NR2C1	0.5797	9
MA1536.1 NR2C2(var.2)	0.541	8
MA0506.1 NRF1	0.8096	11
MA1545.1 OVOL2	0.4649	13
MA0779.1 PAX1	0.5649	17
MA0067.1 Pax2	0.5161	8
MA0014.3 PAX5	0.6426	12
MA0781.1 PAX9	0.5733	17
MA0163.1 PLAG1	0.7976	14
MA1615.1 Plagl1	0.7088	13
MA1548.1 PLAGL2	0.836	10
MA0789.1 POU3F4	0.217	9
MA0792.1 POU5F1B	0.224	9
MA1116.1 RBPJ	0.5284	10
MA0101.1 REL	0.5588	10
MA0107.1 RELA	0.5667	10
MA1558.1 SNAI1	0.5952	10
MA1560.1 SOHLH2	0.6518	10
MA1563.1 SOX18	0.5489	8
MA0079.4 SP1	0.6919	15
MA0516.2 SP2	0.6562	17
MA0746.2 SP3	0.744	13
MA0685.1 SP4	0.6618	17
MA0747.1 SP8	0.7038	12
MA1564.1 SP9	0.7368	12
MA0828.1 SREBF2(var.2)	0.4966	10
MA0521.1 Tcf12	0.5971	11
MA1648.1 TCF12(var.2)	0.661	11
MA0522.3 TCF3	0.6637	11
MA0632.2 TCFL5	0.7497	10
MA0003.4 TFAP2A	0.6554	14
MA0810.1 TFAP2A(var.2)	0.7491	12
MA0872.1 TFAP2A(var.3)	0.7642	13
MA0811.1 TFAP2B	0.7237	12
MA0812.1 TFAP2B(var.2)	0.7281	11
MA0813.1 TFAP2B(var.3)	0.7375	13
MA0524.2 TFAP2C	0.7209	12
MA0814.2 TFAP2C(var.2)	0.6973	14
MA0815.1 TFAP2C(var.3)	0.765	13
MA1569.1 TFAP2E	0.7906	11
MA1122.1 TFDP1	0.7062	11
MA0831.2 TFE3	0.5697	8
MA0692.1 TFEB	0.5547	10
MA0871.2 TFEC	0.607	11
MA0597.1 THAP1	0.6069	9
MA1573.1 THAP11	0.4865	19
MA1627.1 Wt1	0.7031	14
MA0095.2 YY1	0.5261	12
MA0748.2 YY2	0.6691	11
MA1650.1 ZBTB14	0.8078	12
MA0527.1 ZBTB33	0.6091	15
MA0750.2 ZBTB7A	0.6491	13
MA0103.3 ZEB1	0.6506	11
MA1651.1 ZFP42	0.528	21
MA1583.1 ZFP57	0.6258	13
MA0146.2 Zfx	0.7493	14
MA0697.1 ZIC3	0.7541	15
MA0751.1 ZIC4	0.7192	15
MA1653.1 ZNF148	0.8069	12
MA0528.2 ZNF263	0.6719	12
MA1630.1 Znf281	0.7301	11
MA1596.1 ZNF460	0.7412	16
MA1599.1 ZNF682	0.6503	16
MA0753.2 ZNF740	0.7936	13
