Motif	GC content	Motif length
MA0667.1 MYF6	0.406	10
MA0499.2 MYOD1	0.5878	13
MA0500.2 MYOG	0.5914	12
MA1109.1 NEUROD1	0.5413	13
MA0668.1 NEUROD2	0.4781	10
MA0623.2 NEUROG1	0.4073	10
MA0669.1 NEUROG2	0.3991	10
MA1642.1 NEUROG2(var.2)	0.5244	13
MA0606.1 NFAT5	0.3328	10
MA0624.1 NFATC1	0.4114	10
MA0152.1 NFATC2	0.3461	7
MA0625.1 NFATC3	0.3805	10
MA1525.1 NFATC4	0.4034	10
MA0150.2 Nfe2l2	0.4959	15
MA0670.1 NFIA	0.4934	10
MA0161.2 NFIC	0.5248	11
MA1645.1 NKX2-2	0.49	14
MA0672.1 NKX2-3	0.4774	10
MA0063.2 NKX2-5	0.4394	11
MA0673.1 NKX2-8	0.4772	9
MA0124.2 Nkx3-1	0.4093	9
MA0122.3 Nkx3-2	0.3356	13
MA0674.1 NKX6-1	0.201	8
MA0675.1 NKX6-2	0.2323	8
MA1530.1 NKX6-3	0.2969	9
MA0125.1 Nobox	0.2599	8
MA0710.1 NOTO	0.2901	10
MA1534.1 NR1I3	0.3409	9
MA0676.1 Nr2e1	0.2996	9
MA0164.1 Nr2e3	0.3726	7
MA1112.2 NR4A1	0.4019	12
MA0842.2 NRL	0.4309	13
MA0826.1 OLIG1	0.3436	10
MA0678.1 OLIG2	0.374	10
MA0827.1 OLIG3	0.3831	10
MA0679.2 ONECUT1	0.2388	16
MA0756.1 ONECUT2	0.2359	14
MA0757.1 ONECUT3	0.1964	14
MA1542.1 OSR1	0.5374	10
MA1646.1 OSR2	0.519	12
MA0067.1 Pax2	0.5161	8
MA0068.2 PAX4	0.2496	8
MA0070.1 PBX1	0.3102	12
MA1113.2 PBX2	0.2789	13
MA1114.1 PBX3	0.5323	17
MA0132.2 PDX1	0.2375	8
MA0713.1 PHOX2A	0.1648	11
MA0681.2 PHOX2B	0.1581	16
MA0782.2 PKNOX1	0.4902	15
MA0783.1 PKNOX2	0.4937	12
MA0785.1 POU2F1	0.2499	12
MA0786.1 POU3F1	0.2259	12
MA0788.1 POU3F3	0.2069	13
MA0790.1 POU4F1	0.2148	14
MA0791.1 POU4F3	0.249	16
MA1115.1 POU5F1	0.3037	11
MA0142.1 Pou5f1::Sox2	0.3078	15
MA0792.1 POU5F1B	0.224	9
MA0628.1 POU6F1	0.2088	10
MA1549.1 POU6F1(var.2)	0.3281	10
MA0793.1 POU6F2	0.2881	10
MA0508.3 PRDM1	0.4193	11
MA1647.1 PRDM4	0.4287	11
MA0715.1 PROP1	0.0836	11
MA0716.1 PRRX1	0.2165	8
MA0075.3 PRRX2	0.1986	8
MA1618.1 Ptf1a	0.4653	13
MA1619.1 Ptf1a(var.2)	0.5628	12
MA1620.1 Ptf1a(var.3)	0.5512	12
MA0718.1 RAX	0.2597	10
MA0717.1 RAX2	0.2524	8
MA1621.1 Rbpjl	0.557	14
MA0509.2 RFX1	0.4944	14
MA0600.2 RFX2	0.5077	16
MA0798.2 RFX3	0.5263	14
MA0799.1 RFX4	0.4922	16
MA0510.2 RFX5	0.5126	16
MA1554.1 RFX7	0.5321	9
MA0629.1 Rhox11	0.431	17
MA1150.1 RORB	0.4222	11
MA1151.1 RORC	0.419	12
MA0073.1 RREB1	0.6227	20
MA0002.2 RUNX1	0.5016	11
MA0511.2 RUNX2	0.5016	9
MA0684.2 RUNX3	0.4367	12
MA0743.2 SCRT1	0.4852	16
MA0744.2 SCRT2	0.4953	16
MA0630.1 SHOX	0.2284	8
MA0720.1 Shox2	0.2175	8
MA1118.1 SIX1	0.4113	11
MA1119.1 SIX2	0.4265	16
MA1622.1 Smad2::Smad3	0.4323	14
MA0513.1 SMAD2::SMAD3::SMAD4	0.5562	13
MA1153.1 Smad4	0.5166	8
MA0442.2 SOX10	0.3905	11
MA1561.1 SOX12	0.4415	11
MA1120.1 SOX13	0.4093	11
MA1152.1 SOX15	0.311	10
MA0078.1 Sox17	0.3835	9
MA0143.4 SOX2	0.377	11
MA0514.1 Sox3	0.4015	10
MA0867.2 SOX4	0.4041	10
MA0087.1 Sox5	0.1988	7
MA0515.1 Sox6	0.4008	10
MA0868.2 SOX8	0.353	10
MA0077.1 SOX9	0.3582	9
MA0080.5 SPI1	0.4291	20
MA0081.2 SPIB	0.4629	16
MA0687.1 SPIC	0.4105	14
MA0111.1 Spz1	0.5379	11
MA0084.1 SRY	0.2381	9
MA0137.3 STAT1	0.4145	11
MA0517.1 STAT1::STAT2	0.3726	15
MA1623.1 Stat2	0.3284	13
MA0144.2 STAT3	0.4359	11
MA0518.1 Stat4	0.4461	14
MA1624.1 Stat5a	0.3983	12
MA1625.1 Stat5b	0.4335	15
MA0520.1 Stat6	0.4062	15
MA0091.1 TAL1::TCF3	0.4526	12
MA0108.2 TBP	0.3767	15
MA0802.1 TBR1	0.4272	10
MA0805.1 TBX1	0.4921	8
MA0803.1 TBX15	0.5087	8
MA1565.1 TBX18	0.5043	12
MA0688.1 TBX2	0.4404	11
MA0689.1 TBX20	0.43	11
MA0690.1 TBX21	0.4318	10
MA0806.1 TBX4	0.4991	8
MA0807.1 TBX5	0.5245	8
MA1567.1 TBX6	0.5149	10
MA0521.1 Tcf12	0.5971	11
MA0832.1 Tcf21	0.4735	14
MA1568.1 TCF21(var.2)	0.493	12
MA0769.2 TCF7	0.3753	11
MA1421.1 TCF7L1	0.3524	12
MA0523.1 TCF7L2	0.3984	14
MA0090.3 TEAD1	0.4633	13
MA1121.1 TEAD2	0.4713	13
MA0808.1 TEAD3	0.4428	8
MA0809.2 TEAD4	0.4411	12
MA0691.1 TFAP4	0.4672	10
MA1570.1 TFAP4(var.2)	0.4356	10
MA0797.1 TGIF2	0.4878	12
MA1571.1 TGIF2LX	0.5164	12
MA1572.1 TGIF2LY	0.5109	12
MA1577.1 TLX2	0.2087	8
MA1123.2 TWIST1	0.4879	13
MA0633.1 Twist2	0.4234	10
MA0721.1 UNCX	0.2331	8
MA0722.1 VAX1	0.244	8
MA0723.1 VAX2	0.2584	8
MA0693.2 VDR	0.4201	8
MA0725.1 VSX1	0.2206	8
MA0726.1 VSX2	0.2114	8
MA1649.1 ZBTB12	0.5108	11
MA0698.1 ZBTB18	0.4591	13
MA1580.1 ZBTB32	0.3447	10
MA1585.1 ZKSCAN1	0.4647	10
MA1652.1 ZKSCAN5	0.5478	14
MA1589.1 ZNF140	0.5037	21
MA1124.1 ZNF24	0.3244	13
MA1593.1 ZNF317	0.4611	12
MA0130.1 ZNF354C	0.6146	6
MA1125.1 ZNF384	0.1534	12
MA1657.1 ZNF652	0.3305	12
MA1601.1 ZNF75D	0.529	10
